epoch,beta,loss,reconstruction,kl,validation_loss,validation_reconstruction,validation_kl
1,0.025,1958.6831471715038,1943.56021711945,604.9170713985668,990.207033187624,974.3332650514633,634.9505403645834
2,0.05,871.5851045496323,848.8804042350113,454.09402797232923,760.997268531436,738.8228777591765,443.487857452877
3,0.075,712.8003592512727,682.4350287666148,404.87105577563807,675.6803113374256,644.3448091052827,417.8066655815972
4,0.1,654.8020000198848,617.9413209112521,368.6067573927107,644.2877482483879,607.58625484406,367.01494956364706
5,0.125,614.9261703836432,571.9381647584665,343.904017797962,609.8457619125124,568.0343016803075,334.4916364591084
6,0.15,589.1816719711096,540.611459447248,323.8013986440805,599.5811051044767,551.0092993164062,323.8120298355345
7,0.175,567.8368081485523,514.2265405439143,306.34440260667066,577.9279802207341,526.9754478624131,291.15732633076016
8,0.2,553.9554511022784,495.92523290021387,290.1510838297158,566.6216727895585,508.49453582279267,290.63568338061134
9,0.225,542.062479839066,480.20305526526266,274.93078316390785,554.7407828776041,494.6306647987971,267.15608665829615
10,0.25,529.6176481635323,464.4099357225237,260.830847140351,542.2405990745908,478.08914659288195,256.6058188205295
11,0.275,517.8857554440045,449.7151642536146,247.89305936373196,532.0031964208209,465.08476097470236,243.33977883959574
12,0.3,510.9589736040901,440.0870188717389,236.23983957972462,533.2836794317336,465.692189437624,225.30495241195436
13,0.325,502.1699696536517,429.25481570144586,224.3543295191424,533.5214766632564,462.8554099237351,217.4340532284691
14,0.35,494.59903589309073,419.6105783039628,214.2527349825898,522.0261190553696,446.8373033699157,214.82519418867807
15,0.375,485.00055787789876,408.17445918985084,204.86959880293765,527.0170833333333,450.6824894205729,203.55891435895649
16,0.4,479.2548743890961,400.75545049468855,196.2485547648296,510.38455574156745,434.0742294456845,190.77581501309834
17,0.425,473.55963894252864,393.6103540480946,188.1159582353825,519.7881926230779,442.13447606646827,182.7146173580109
18,0.45,464.7616338255179,383.2810304391438,181.06801215124347,506.96451284257193,426.66873750232514,178.43506161644345
19,0.475,460.50849741940044,377.37925078102904,175.00894351458658,508.42193909660216,425.9885095408606,173.5440643794953
20,0.5,455.9615158150099,371.5397175922653,168.84359651453354,507.47677726624505,423.97140859452503,167.01073658776662
21,0.5,448.49134888800023,365.3134630298183,166.35576978312358,498.0713988095238,415.5322432066902,165.07830883207777
22,0.5,436.798179660987,354.92279287484973,163.75077156998992,491.0750888206845,409.5533001224578,163.0435726783389
23,0.5,427.1642416008997,346.0633988186245,162.20168549550604,475.86615784660216,396.39485142299105,158.94261570521763
24,0.5,418.2032825590798,337.9933803092301,160.41980615676258,468.570077156188,389.7067412458147,157.7266717141772
25,0.5,410.63158116405367,331.23929951525383,158.78456571415,462.5637798781622,383.8182529800657,157.4910527983166
26,0.5,402.1839374524975,323.35523883249965,157.65739848279307,463.7652122085814,386.81371419270835,153.90299789186508
27,0.5,396.48504624863017,318.2782804048978,156.41353065180024,467.47807043650795,391.4321665736607,152.09180300757998
28,0.5,391.05536220084485,313.2584040715144,155.59391570630657,460.6055511377728,383.7314475020151,153.7482071358817
29,0.5,386.3995397231158,309.08683259023263,154.6254155085637,448.6034622047061,372.33945537264384,152.52801328628783
30,0.5,376.4688365815452,299.6008338065169,153.73600527387939,446.2298166620164,369.66527688647074,153.12907569521948
31,0.5,374.1729143928079,297.6037275909838,153.138372153718,443.23611498635915,366.59130374969,153.28962012881325
32,0.5,371.1514671636383,294.71972214366514,152.86348976376908,446.2449811662946,369.85733371310766,152.7752977643694
33,0.5,364.75700026292066,288.68185224576234,152.15029596527236,441.4833480980283,364.7648300703745,153.43702823699468
34,0.5,359.0051700367647,283.2907861217654,151.42876810617577,432.75709058004713,355.747705078125,154.01877868652343
35,0.5,354.6808133362645,279.1052014104921,151.151225301475,423.74874519469245,347.361156218998,152.775181671627
36,0.5,351.7927675549261,276.4423393836388,150.70085475455582,426.45253111824155,351.84228484623014,149.22050246465773
37,0.5,348.8915193997897,273.7539842010084,150.275071433227,426.94637978205606,351.5212700544085,150.8502178373791
38,0.5,344.76287952267745,269.69602593469403,150.13370724501112,425.09535134936135,350.51325648716517,149.16419344463046
39,0.5,341.31611460690044,266.4763716615703,149.67948464786306,420.3062762548053,345.03971195281497,150.5331310841394
40,0.5,332.29279199660635,257.7361118782699,149.11336085807145,419.12645131913445,343.7923044549851,150.66829049246653
